isoa3_id_1,w_s_up_2011_sum,w_s_up_2016_sum,w_s_up_2022_sum,w_p_p_2001_sum,w_p_p_2006_sum,w_p_p_2011_sum,w_p_p_2022_sum,w_p_p_2016_sum,w_p_up_2001_sum,w_p_up_2006_sum,w_p_up_2011_sum,w_p_up_2016_sum,w_p_up_2022_sum,w_s_p_2001_sum,w_s_p_2006_sum,w_s_p_2011_sum,w_s_p_2016_sum,w_s_p_2022_sum,w_s_up_2001_sum,w_s_up_2006_sum
NER,158.5654077,158.5654077,110.3826565,18.1866065,21.16104788,21.16104788,63.44940219,21.16104788,87.21020068,84.2357593,84.2357593,84.2357593,41.94711061,17.62427416,21.13159037,21.13159037,21.13159037,69.31417191,162.0729475,158.5654077
LBR,63.05595468,63.05595468,63.05595468,0,133.3023264,133.3023264,133.3023264,133.3023264,215.0250995,81.71876701,81.71876701,81.71876701,81.71876701,0.071747263,3.175765937,3.175765937,3.175765936,3.175765937,66.160318,63.05595468
GMB,23.50610604,21.99951262,21.99951262,32.87970479,38.2535491,38.39922679,53.74301151,53.74301151,269.5074475,264.1340399,263.9879425,248.6445262,248.6445262,1.835796889,3.052467313,3.094408886,4.601039841,4.601039841,24.76484763,23.54818062
BFA,112.5181789,97.34920424,96.4015253,1.788569626,1.788569626,25.43143802,26.68833967,25.92734928,44.29622612,44.29622612,20.65342946,20.1578908,19.39690041,24.19305716,24.19305716,32.28258013,47.45198554,48.39964753,120.6076413,120.6076413
BEN,30.83175655,30.83175655,30.83175654,1.783275982,1.783275982,1.783275982,1.783275982,1.783275982,407.0972492,407.0972492,407.0972492,407.0972492,407.0972492,4.774549195,4.774549195,4.779256383,4.779256383,4.779256383,30.83645685,30.83645685
GHA,133.3541011,133.3541011,133.3541011,206.7320912,206.7320912,206.7320912,206.7320912,206.7320912,5112.89295,5112.89295,5112.89295,5112.89295,5112.89295,7.628553473,7.628553473,7.628553473,7.628553473,7.628553473,133.3541011,133.3541011
MRT,146.133339,146.133339,146.133339,56.20016985,56.20090831,56.20090831,56.20090831,56.20090831,213.9674952,213.9674952,213.9674952,213.9674952,213.9674952,35.41830323,35.41830653,35.41830653,35.41830653,35.41830653,146.133339,146.133339
CPV,3.71680212,3.675346181,3.675346181,0.000864504,0.058408907,0.058408907,1.44065637,1.44065637,286.5341542,286.4766806,286.4766806,285.0940776,285.0940776,0.025073274,0.127573161,0.127573161,0.169029099,0.169029099,3.819345861,3.71680212
SLE,231.0642279,142.8702002,142.8702002,60.87274275,60.87375566,60.87375566,153.6515138,153.6515138,208.9758324,208.9748091,208.9748091,116.1902429,116.1902429,13.25286234,13.56861877,13.57548387,101.7692826,101.7692826,231.3870791,231.0711521
NGA,1326.376429,1326.358229,1326.358229,83.93298303,83.93298303,172.8655383,172.8655383,172.8655383,3908.575081,3908.575081,3819.639026,3819.639026,3819.639026,39.07014736,39.07014736,109.821809,109.8399813,109.8399813,1397.128887,1397.128887
GNB,127.0829035,110.5549085,110.5549085,150.5307235,168.9619237,174.4732874,271.7741455,271.7741455,922.7641251,904.3329249,898.8157504,801.5147441,801.5147441,30.71052996,33.27653093,36.25145407,52.77943869,52.77943869,132.6257094,130.0597084
MLI,768.9721423,762.3113393,762.1720145,7.272334223,352.4749654,352.4749654,353.7912169,353.5952457,941.5112399,596.358836,596.358836,595.2384564,595.0424885,16.40214754,1198.1569,1198.210114,1204.870532,1205.00985,1950.775401,769.0254143
GIN,208.5913861,208.5913861,204.3605834,93.73740393,101.2352286,101.2352286,101.2352286,101.2352286,381.0360975,373.5382763,373.5382763,373.5382763,373.5382763,15.96228006,83.49742742,83.55955692,83.55955692,87.79026345,276.1888204,208.6535807
CIV,225.0122967,225.0122967,225.0122967,56.41711953,56.41711953,56.41711953,56.41711953,56.41711953,1711.237568,1711.237568,1711.237568,1711.237568,1711.237568,42.41213148,42.44030168,42.44030168,42.44030168,42.44030168,225.0404669,225.0122967
TGO,5.80510189,5.80510189,5.80510189,0.152039059,0.152039059,0.152039059,0.152039059,0.152039059,99.72632374,99.72632374,99.72632374,99.72632374,99.72632374,2.549029588,2.557868461,2.557868461,2.557868461,2.557868461,5.813940762,5.80510189
