isoa3_id,fc_p_2006_sum,fc_p_2011_sum,fc_p_2016_sum,fc_p_2022_sum,fc_up_2006_sum,fc_up_2011_sum,fc_up_2016_sum,fc_up_2022_sum,ba_p_2006_sum,ba_p_2011_sum,ba_p_2016_sum,ba_p_2022_sum,ba_up_2006_sum,ba_up_2011_sum,ba_up_2016_sum,ba_up_2022_sum,fir_p_2006_result,fir_p_2011_result,fir_p_2016_result,fir_p_2022_result,fl_p_2006_sum,fl_p_2011_sum,fl_p_2016_sum,fl_p_2022_sum,fl_up_2006_sum,fl_up_2011_sum,fl_up_2016_sum,fl_up_2022_sum
ZWE,"1124085.82906594","1124083.84092943","1141223.7574038","1141224.35188174","2892701.5984526","2892701.59890651","2875562.54178727","2875562.54052254","3208534.75896401","4575066.81702888","1917289.29828701","963377.315852158","6039946.18722573","9191525.6127982","4380802.90234663","2048893.50199755","27977","36072","24155","19916",303.989199092389,323.709956506165,212.395882190638,243.351565311432,1407.76642011363,1550.63754295142,1200.65699966819,1090.92858144343
MOZ,"5544129.89786539","5929274.62487854","6309913.65621001","6353358.55791249","16275033.6736553","15889951.4804805","15509340.3177938","15465894.9679675","15782440.8932879","17405905.4766721","15941409.2244846","14015339.8999831","36731163.0028702","34409908.6807924","29191451.3096245","24178924.4956343","155709","188363","175764","167465",1276.82804416486,1606.46973315654,1871.50179661534,2154.58290341017,7563.42461079376,10105.4593416736,10258.8223591023,11374.9109314369
MWI,"497900.718671415","497900.718671234","497900.718670789","509528.562806848","1248931.30659406","1248931.30658866","1248931.30658802","1237303.32292905","794826.794940555","880022.202899764","1059813.73746025","877969.585807848","1164079.65947339","1690991.93182941","1161898.04873642","723991.550497295","15680","17328","17793","13746",148.530928465572,146.965713681592,354.495326329553,282.031086565413,460.46897507164,451.548384797687,666.926269785421,670.543623237609
ZAF,"920083.126708478","933668.6544523","986817.138267966","1065351.74917235","6328217.94543334","6314635.07003707","6261520.38269255","6182997.07454306","1699050.09436496","1669816.42029604","808708.139245947","1038226.39824455","8337849.0567643","11273378.8369888","3573627.28388663","6655475.84938383","20509","23005","20061","25487",189.508356037463,163.093568490045,637.681941556913,602.478530360724,5304.02806721388,3573.51744629058,5787.81520526722,4944.66101865252
LSO,"1310.79850949791","1310.79850949919","1310.79850949999","1310.80888993566","39556.9048999045","39556.9048999029","39556.9048997817","39556.9052779528","8089.87724505332","7587.75424514426","5585.27885625819","4655.10375687769","35472.4552798946","26180.2325267651","4523.60302313721","23767.5938730185","1914","1966","1908","1970",0.0368960404356713,0.0629489471701229,0.0583677322308708,0.0070640042724609,0.891272525340361,0.872017258211742,3.08849350590724,1.32690854864358
BWA,"378947.054175135","379194.181393089","379342.543662927","379342.54366119","618293.488123447","618047.16608757","617898.833196315","617898.833303402","4455935.71142033","8089316.61371989","1246532.92894448","1145133.41487582","6060154.188471","18039980.1808169","1254234.49129724","4082341.32039315","17639","36714","17288","28680",23.2656070070889,8.95266634761771,27.0511186541224,2.10338742512758,11.1216531684771,11.0381709225031,9.62265878424311,4.34142421156532
ZMB,"7356528.01712516","7356827.56633901","7356830.84593987","7356858.90092718","11436162.0409361","11435861.7671371","11435858.556551","11435830.497792","25312178.4450035","27263578.3730698","26583356.9684299","22785508.4726696","37609955.0592044","37555041.0573297","33827698.6017399","29231561.8646161","301294","345800","317031","297859",1091.08819057008,1618.26190381442,1962.26777687044,2319.60956765933,3190.00070752812,5920.25537615636,7917.69015520648,10618.5264044463
NAM,"108252.27198584","174664.759254246","189406.882665953","189407.869810268","552394.45640184","485982.704051553","471241.502439565","471240.515327999","4463447.66019426","9033451.97397531","1493026.87991831","3385055.13909267","6890328.68922361","8036875.93587224","2515362.19973385","4289368.42308275","15596","42000","31520","23560",13.5243492524328,11.6249951445217,6.77006828356957,11.8126093938951,59.5467320538516,39.2141950420346,25.5410013325703,24.3406132830011
AGO,"1066379.98581676","1066396.50012654","1066398.48720528","1066398.48721236","36672112.2035142","36672097.5711764","36672095.6031269","36672095.5975252","5546663.84384492","6159244.06631088","6470076.84437046","5126635.3274204","80903439.6755173","95221726.898476","86416637.42227","71732301.4336829","60912","64982","63372","61676",177.596626618658,210.987390623458,254.005464411455,177.073649181909,5866.87009159778,11179.8159317362,13630.0036196546,14671.4337591695
GAB,"3297917.15303296","4507005.42256606","4512514.500196","4524604.26145016","18897111.8289301","17688068.2240842","17682558.5850258","17670470.143118","90948.0373375905","106076.650448635","97877.5456763403","55199.1645509139","398978.214051384","489926.608429743","552030.68186287","325143.459340617","3946","3117","2908","3362",78.1389707313049,119.112259638586,210.074182242537,170.957087379707,867.765215065261,713.974387405125,1514.86309817757,1004.60989021998
COG,"2562176.00235915","8427135.90484859","9599956.37693703","9783650.85245598","21702431.1794496","15837658.4842378","14664840.1378801","14481144.0670679","232601.405104556","638057.16667763","866983.734764879","872629.836822964","3481505.38740207","4263511.45083737","3949648.78316928","2939578.24819911","6068","12705","16981","21172",58.4170280538558,252.426016900312,573.995146390973,520.147924021812,1230.67992451844,1234.59757839381,2821.34375187268,2183.03275192498
CPV,"358.43838583808","358.43838583808","358.438385838082","358.438385838082","4136.52458727428","4136.52458727431","4136.5245872743","4136.52458727429","0","0","0","0","86.6444885383302","0","0","0","1824","1827","1925","1816",0.0579458808380725,0.0368637191193225,0.130835277908864,0.187118309636614,1.69089988999598,1.53067762052912,3.74523842818675,0.449087120470234
ESH,"0","0","0","0","0.0555378944091796","0.0555378944091796","0.0555378944091796","0.0555378944091796","0","0","0","0","0","0","0","0","1817","1826","1827","1815",0,0,0,0,0,0,0,0
MRT,"277.358177252355","277.358177252349","277.358177252352","277.358177252351","1051.99608796173","1051.99608794773","1051.99608795017","1051.99608795089","3492.08889821154","3300.59951067768","250.260523590064","4131.27957384276","1084995.15668134","72473.0146282056","245207.268152908","457416.549209108","1850","1890","1889","1872",0.0160079924519856,0.0042763501586914,0.0102995825805664,0.0034338720703125,0.591356672526043,0.0544119248657226,4.46265732504403,1.07404548098097
MAR,"56234.5655054989","72517.8636992581","72519.6356539332","72861.577404386","455380.293978925","439096.835172611","439095.031579003","438752.980684993","2318.72926624071","5621.56792822427","0","1781.87566703932","48196.1139256888","13397.6198190148","18176.90625222","21882.9898146576","1893","1883","1884","1905",13.1065603828815,12.8447069342647,12.227223662989,12.4464040667343,149.975845560897,135.080046131862,402.574450511,427.482568781326
